"selection1_name","selection1_url","selection1_price"
"Teletubbies Cute Plush Soft Toy - Po, La La, Tinky Winky, Dipsy NEW Kids Gift","https://www.ebay.com/itm/Teletubbies-Cute-Plush-Soft-Toy-Po-La-La-Tinky-Winky-Dipsy-NEW-Kids-Gift/362752304088?hash=item5475b8e3d8:m:m2hEIbzCofksWeCHk-Bb4Mg","$9.99"
"Playskool Teletubbies Vaccum Plush with Pull Tag","https://www.ebay.com/itm/Playskool-Teletubbies-Vaccum-Plush-with-Pull-Tag/303334432211?_trkparms=ispr%3D1&hash=item46a0241dd3:g:0UEAAOSwD5NdshnS&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qULP4uZLcAHysKLfKKhuVM4DU109y98KMyWaFOOxzwO%2BIHpovTgGcKya%2BiPAZopNcSbH2tqKu2WKBccDVg1O9AuCfjZXkAAdnDm1kN8UsVCI5wn7yWQsjzI7Tw0E6lG60dq5N7w7AWxlSHCma1xWgIU1uenSGerMF0N8wyq4aj2tZoBhAu%2B%2BF0MGn2Yi2c50KKzsEUTPbuduLp8cLr9jzk3ZZvBfSZlRxEM4rbZ5KR3vmuE%2Bt%2BSX2TSCPw44BqUGNKyYQEyrAoBPLWNKoPPe4ikc9viasWj4sxGz2SHLrmayEoeSi9JwlnIcmwZJPZcuwY%2F8B%2FZME5CKi4rsOtFZQeoXiiugX013Bui2akrV0saudKrAiJGo0816EukwdVOTNKHe%2B2IJrJ7RnOExgGNL3oALoL7ChMtzfPJrJSuXKuevLBv2xblVnaK1ELvkgX3oz9Etp1o29fJdLl7VtpIsnw7Q7%2F1tFT5RiccIn4Xbw%2FJ%2B2925rX3erCFjT4WD4lqfosGyUHqzHKz%2FZpRR1Gj%2BjoKFPkTTaeWavSZ3TqR25LZsHe2RMNdZVmN1XlHY8fhFxLoKhpWjpoJLPxuPYQMhzjl8fnjGPkMciZLu4i%2BUvAGnjY9sSYIauGwCQ75b9j2mdzDdBVpFVE6ylxOnGGXwsjBscTWDiINjVDliVXzkQWMOjuPzRdvo7MuT5DZgJVsicaT9PKnQegkrD4OG36R%2B8SgqfJpAVAft7wKfyxSqBPMfw%3D%3D&checksum=303334432211ade2d18d2b9a43d69f5b6048065471a8&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qULP4uZLcAHysKLfKKhuVM4DU109y98KMyWaFOOxzwO%2BIHpovTgGcKya%2BiPAZopNcSbH2tqKu2WKBccDVg1O9AuCfjZXkAAdnDm1kN8UsVCI5wn7yWQsjzI7Tw0E6lG60dq5N7w7AWxlSHCma1xWgIU1uenSGerMF0N8wyq4aj2tZoBhAu%2B%2BF0MGn2Yi2c50KKzsEUTPbuduLp8cLr9jzk3ZZvBfSZlRxEM4rbZ5KR3vmuE%2Bt%2BSX2TSCPw44BqUGNKyYQEyrAoBPLWNKoPPe4ikc9viasWj4sxGz2SHLrmayEoeSi9JwlnIcmwZJPZcuwY%2F8B%2FZME5CKi4rsOtFZQeoXiiugX013Bui2akrV0saudKrAiJGo0816EukwdVOTNKHe%2B2IJrJ7RnOExgGNL3oALoL7ChMtzfPJrJSuXKuevLBv2xblVnaK1ELvkgX3oz9Etp1o29fJdLl7VtpIsnw7Q7%2F1tFT5RiccIn4Xbw%2FJ%2B2925rX3erCFjT4WD4lqfosGyUHqzHKz%2FZpRR1Gj%2BjoKFPkTTaeWavSZ3TqR25LZsHe2RMNdZVmN1XlHY8fhFxLoKhpWjpoJLPxuPYQMhzjl8fnjGPkMciZLu4i%2BUvAGnjY9sSYIauGwCQ75b9j2mdzDdBVpFVE6ylxOnGGXwsjBscTWDiINjVDliVXzkQWMOjuPzRdvo7MuT5DZgJVsicaT9PKnQegkrD4OG36R%2B8SgqfJpAVAft7wKfyxSqBPMfw%3D%3D&checksum=303334432211ade2d18d2b9a43d69f5b6048065471a8","$7.61"
"1998 Hasbro Teletubbies Talking Red Po 15"" & Tinky Winky 17"" Stuffed Plush Toy","https://www.ebay.com/itm/1998-Hasbro-Teletubbies-Talking-Red-Po-15-Tinky-Winky-17-Stuffed-Plush-Toy/223726454499?hash=item341722c6e3:g:VIYAAOSwFFVdmkPJ:sc:USPSPriority!14221!US!-1","$15.00"
"New ListingORIGINAL 1998 TALKING TELETUBBIE Plush POE Playskool RED Doll Working","https://www.ebay.com/itm/ORIGINAL-1998-TALKING-TELETUBBIE-Plush-POE-Playskool-RED-Doll-Working/312832578177?_trkparms=ispr%3D1&hash=item48d6465281:g:mtEAAOSwNhNdwQKj&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qVL%2Btgdso4%2FQpMec8JvYScljBWVx%2BZ1fPgDoblTwLhIYen25cTC90COyRXbm7etrsPf%2BcSCPEOAVnCrCXlLu1HaaLDw%2FuZCwM7Lf8iGnNbvNy9t9%2FGiz6RQjHdbQvSI%2FJCoFV%2BCbezfa3ccHCP%2FFuTskTk5XL6PxN%2BIZKXyS%2FK5vj%2FU80ibJykPiN6dXI8N%2BksyVo98aHyRBDSBKkmiydb%2F3kE%2BceBXAGMlvfgOwzIl0ULt2UnoOBOlKCem6CtLLi026A8nNckuxZzbHfAhPYsm12%2BThFOt41xFcEyG2xOhv6itaChfe635%2B09xtJ2jGNWNMw5lFGGhIz9%2BJI3iLJaW7iSWRMx3H%2FVMmsayaQUbfCQMinqibegQXmCs6ETopIwwAHrX2Vl%2BbHhSym9dhJ8HAIw1xVE4mlqgFTiUTak73BMcgH8vX47o6AvSjbH5T%2FCsA1XjH3o469sC%2B9kCqkvfL9v7mdTHeIs0hLAGZnSJoLUdsjWHCVI8Nm%2FKAAu1Y9IhiryVL%2FlVlzYeVolDmzcH8%2Bjqysuh9QyKZn1hifSDiMa0MRXb%2F39rnAIsBW7vgL9GSXa4LJn80UGsB9ZLl56aN2yqAgi129iJh%2Bjz%2B%2B%2BP5vWFTB7OFXLU37HqM7uMym6rcGHuaJxReWw8o15ycB3ETplhAg%2FipSCFMdXzWrZSz4LeGtbmuq9GIFXbQ6rfdUBT3FxC8jtrCvCPRSe8xO8nvH2r3WjQq3imry69m3JJ6g%3D%3D&checksum=312832578177ade2d18d2b9a43d69f5b6048065471a8&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qVL%2Btgdso4%2FQpMec8JvYScljBWVx%2BZ1fPgDoblTwLhIYen25cTC90COyRXbm7etrsPf%2BcSCPEOAVnCrCXlLu1HaaLDw%2FuZCwM7Lf8iGnNbvNy9t9%2FGiz6RQjHdbQvSI%2FJCoFV%2BCbezfa3ccHCP%2FFuTskTk5XL6PxN%2BIZKXyS%2FK5vj%2FU80ibJykPiN6dXI8N%2BksyVo98aHyRBDSBKkmiydb%2F3kE%2BceBXAGMlvfgOwzIl0ULt2UnoOBOlKCem6CtLLi026A8nNckuxZzbHfAhPYsm12%2BThFOt41xFcEyG2xOhv6itaChfe635%2B09xtJ2jGNWNMw5lFGGhIz9%2BJI3iLJaW7iSWRMx3H%2FVMmsayaQUbfCQMinqibegQXmCs6ETopIwwAHrX2Vl%2BbHhSym9dhJ8HAIw1xVE4mlqgFTiUTak73BMcgH8vX47o6AvSjbH5T%2FCsA1XjH3o469sC%2B9kCqkvfL9v7mdTHeIs0hLAGZnSJoLUdsjWHCVI8Nm%2FKAAu1Y9IhiryVL%2FlVlzYeVolDmzcH8%2Bjqysuh9QyKZn1hifSDiMa0MRXb%2F39rnAIsBW7vgL9GSXa4LJn80UGsB9ZLl56aN2yqAgi129iJh%2Bjz%2B%2B%2BP5vWFTB7OFXLU37HqM7uMym6rcGHuaJxReWw8o15ycB3ETplhAg%2FipSCFMdXzWrZSz4LeGtbmuq9GIFXbQ6rfdUBT3FxC8jtrCvCPRSe8xO8nvH2r3WjQq3imry69m3JJ6g%3D%3D&checksum=312832578177ade2d18d2b9a43d69f5b6048065471a8","$20.00"
"Teletubbies Talking PO Soft Plush Toy Teddy 29 cm NEW With Tags","https://www.ebay.com/itm/Teletubbies-Talking-PO-Soft-Plush-Toy-Teddy-29-cm-NEW-With-Tags/232927727323?epid=2254481638&hash=item363b930edb:g:H-YAAOSwIWVY-M0a","$18.06"
"Teletubbies DIPSY GREEN Mini plush 5"" Keychain Keyring plush","https://www.ebay.com/itm/Teletubbies-DIPSY-GREEN-Mini-plush-5-Keychain-Keyring-plush/163919875489?hash=item262a62cda1:g:1SoAAOSw8a5c5oAb","$6.99"
"New Teletubbies Collectable Super Soft Plush Toys Full Set","https://www.ebay.com/itm/New-Teletubbies-Collectable-Super-Soft-Plush-Toys-Full-Set/153570172100?hash=item23c17edcc4:g:0fsAAOSwdcNdLwhX","$37.05"
"New ListingVintage 1998 TELETUBBIES 8"" Plush Bean Bag Toys 1998 Po and Laa Laa","https://www.ebay.com/itm/Vintage-1998-TELETUBBIES-8-Plush-Bean-Bag-Toys-1998-Po-and-Laa-Laa/274082558104?hash=item3fd097f098:g:yAQAAOSwmjhcp-N1","$11.95"
"Talking Teletubbies Plush Soft Toy Tinky Winky Laa Laa Dipsy OR Po 18 +Mnths New","https://www.ebay.com/itm/Talking-Teletubbies-Plush-Soft-Toy-Tinky-Winky-Laa-Laa-Dipsy-OR-Po-18-Mnths-New/142361407598?hash=item212566b06e:m:mDZk88_YxZ07qW4OEaYYi4w","$18.12"
"Vintage Playskool Teletubbies Talking Laa Laa Plush 16"" La La Yellow Doll 1998","https://www.ebay.com/itm/Vintage-Playskool-Teletubbies-Talking-Laa-Laa-Plush-16-La-La-Yellow-Doll-1998/174081787382?hash=item28881545f6:g:siQAAOSwBLJdujX2","$22.88"
